name	ticker	date	m_cat	prospectus_benchmark	fund_obj	ar_net_expense	tot_ret_1mo	tot_ret_3mo	tot_ret_ytd	tot_ret_12mo	tot_ret_3yr	tot_ret_5yr	tot_ret_10yr	tot_ret_15yr	standard_dev_5yr	%_cyclical	%_sensitive	%_defensive	%_basic_materials	%_consumer_cyclical	%_fin_services	%_real_estate	%_communication_services	%_energy	Industrials	Technology	%_consumer_defensive	%_healthcare	%_utilities	%_africa_middle_east	%_americas	%_north_america	%_latin_america	%_asia_developed	%_asia_emerging	%_australasia	%_united_kingdom	%_europe_developed	%_europe_emerging	%_greater_asia	%_greater_europe	%_japan	%_mkt_maturity_dev	%_mkt_maturity_emerging	avg_maturity	avg_duration	avg_credit_quality	avg_weighted_coupon	aaa	aa	a	bbb	bb	b	below_b	%_government	%_corporate	%_securitized	%_municipal	%_cash	%_derivative	%_large_blend	%_large_growth	%_large_value	%_mid_blend	%_mid_growth	%_mid_value	%_small_blend	%_small_growth	%_small_value	%_bonds_long	%_bonds_short	%_cash_long	%_cash_short	%_us_stocks_long	%_us_stocks_short	%_non_us_stocks_long	%_non_us_stocks_short	m_risk_score
iShares Asia 50 ETF	AIA	2024-09-06	US Fund Pacific/Asia ex-Japan Stk	S&P Asia 50 NR USD	Pacific Stock	0.50	5.39	11.18	16.44	15.29	-7.87	3.89	5.52	7.32	23.64	35.82	63.36	0.82	1.11	14.06	19.70	0.95	14.14	1.20	2.10	45.92	0.00	0.82	0.00	0.00	0.00	0.00	0.00	65.49	34.51	0.00	0.00	0.00	0.00	100.00	0.00	0.00	65.49	34.51	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	12	58	30	0	0	0	0	0	0	0.00	0.00	0.35	0.02	0.00	0.00	99.67	0.00	79
iShares China Large-Cap ETF	FXI	2024-09-06	US Fund China Region	FTSE China 50 NR USD	Pacific Stock	0.74	-2.09	8.32	8.50	-1.56	-15.54	-7.35	-1.12	-0.25	27.35	67.64	29.77	2.59	1.69	34.48	29.84	1.63	17.17	6.62	1.74	4.24	0.76	1.31	0.53	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	100.00	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	8	36	56	0	0	0	0	0	0	0.00	0.00	0.43	0.04	0.00	0.00	99.62	0.00	77
iShares Core MSCI EAFE ETF	IEFA	2024-09-06	US Fund Foreign Large Blend	MSCI EAFE IMI NR USD	Growth and Income	0.07	-2.00	-0.38	5.10	11.09	2.23	6.46	4.52	-	18.46	39.45	35.69	24.86	6.63	10.52	18.81	3.50	4.69	3.73	17.71	9.56	8.31	13.43	3.11	0.94	0.69	0.69	0.00	3.08	0.15	7.83	14.50	48.10	0.02	35.75	63.56	24.44	99.81	0.20	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	28	26	24	8	5	6	2	1	1	0.00	0.00	0.66	0.01	0.70	0.00	98.40	0.00	73
iShares Core MSCI Emerging Markets ETF	IEMG	2024-09-06	US Fund Diversified Emerging Mkts	MSCI EM IMI NR USD	Diversified Emerging Markets	0.09	2.77	4.75	6.86	11.85	-4.46	3.63	2.98	-	18.52	42.33	45.06	12.61	7.15	11.49	21.52	2.16	8.52	4.80	8.84	22.90	4.99	4.60	3.02	9.95	7.78	0.26	7.52	30.75	48.65	0.00	0.01	0.57	2.29	79.40	12.82	0.00	34.41	65.59	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	94.60	5.40	24	37	18	7	5	5	1	1	1	0.00	0.00	1.34	1.02	0.26	0.00	99.41	0.00	69
iShares Core MSCI Europe ETF	IEUR	2024-09-06	US Fund Europe Stock	MSCI Europe IMI NR USD	Europe Stock	0.09	-3.12	0.48	5.64	11.61	3.10	7.13	4.41	-	20.28	35.27	34.17	30.56	6.21	9.21	17.87	1.99	3.76	4.94	17.45	8.01	10.25	16.50	3.80	0.07	0.78	0.78	0.00	0.01	0.00	0.00	22.89	76.22	0.03	0.01	99.21	0.00	99.95	0.05	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	27	29	23	7	5	5	2	1	1	0.00	0.00	0.75	0.00	0.80	0.00	98.07	0.00	82
iShares Core MSCI Intl Dev Mkts ETF	IDEV	2024-09-06	US Fund Foreign Large Blend	MSCI World Ex USA IMI NR USD	Foreign Stock	0.04	-2.11	-0.54	4.88	10.77	2.20	6.63	-	-	18.54	40.84	36.20	22.96	7.24	9.96	20.31	3.33	4.38	5.32	17.08	9.42	7.81	12.03	3.12	0.82	11.31	11.29	0.02	2.74	0.13	6.96	12.96	42.99	0.02	31.91	56.79	21.88	99.82	0.18	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	28	26	24	8	5	6	2	1	1	0.00	0.00	0.43	0.00	1.08	0.00	98.29	0.00	72
iShares Core MSCI Pacific ETF	IPAC	2024-09-06	US Fund Diversified Pacific/Asia	MSCI Pacific IMI NR USD	Pacific Stock	0.09	-0.42	-2.03	4.23	10.08	0.65	5.02	4.73	-	16.53	46.92	37.93	15.15	7.56	13.01	20.34	6.01	6.42	1.64	18.42	11.44	5.12	8.07	1.96	0.03	0.25	0.25	0.00	8.57	0.31	21.77	0.15	0.00	0.00	99.58	0.17	68.42	99.66	0.34	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	30	21	26	8	5	6	2	1	1	0.00	0.00	0.54	0.00	0.23	0.00	99.23	0.00	68
iShares Core MSCI Total Intl Stk ETF	IXUS	2024-09-06	US Fund Foreign Large Blend	MSCI ACWI Ex USA IMI NR USD	Foreign Stock	0.07	-0.49	1.06	5.62	11.34	0.30	5.75	4.03	-	17.87	41.18	38.91	19.91	7.22	10.42	20.60	2.94	5.59	5.15	14.74	13.44	6.98	9.86	3.07	3.43	10.18	8.01	2.16	10.81	14.06	4.96	9.14	30.72	0.67	45.86	43.96	15.60	81.05	18.95	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	78.02	21.98	27	29	22	7	5	5	2	1	1	0.00	0.00	0.63	0.29	0.85	0.00	98.67	0.00	70
iShares Currency Hdgd MSCI ACWI exUS ETF	HAWX	2024-09-06	US Fund Foreign Large Blend	MSCI ACWI ex US 100% Hedged NR USD	Growth and Income	0.03	0.57	2.79	11.42	16.90	6.46	9.19	-	-	13.32	40.78	38.61	20.61	6.75	10.03	22.11	1.90	5.85	5.39	13.63	13.74	7.22	10.31	3.07	3.22	10.40	8.16	2.24	10.55	14.02	1.09	9.14	32.42	0.61	44.22	45.38	3.35	81.13	18.87	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	0.78	99.22	31	33	26	4	3	3	0	0	0	0.00	0.00	100.90	102.62	0.88	0.00	100.69	0.00	70
iShares Em Mkts Eq Fac ETF	EMGF	2024-09-06	US Fund Diversified Emerging Mkts	STOXX Emerging Markets Eq Factor NR USD	Diversified Emerging Markets	0.33	2.29	5.67	9.81	19.02	-0.77	5.62	-	-	17.57	39.62	47.79	12.59	5.17	11.60	21.83	1.03	8.48	5.76	8.44	25.11	6.29	3.06	3.24	8.05	7.14	0.00	7.14	32.33	48.83	0.00	0.01	0.70	2.96	81.16	11.71	0.00	36.10	63.90	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	92.53	7.47	25	36	23	6	2	8	0	0	1	0.00	0.00	1.34	1.09	0.00	0.00	99.75	0.00	69
