name	ticker	m_cat	date	tot_ret_1mo	tot_ret_3mo	tot_ret_ytd	tot_ret_12mo	tot_ret_3yr	tot_ret_5yr	tot_ret_10yr	tot_ret_15yr	standard_dev_5yr	avg_maturity	avg_duration	avg_weighted_coupon	aaa	aa	a	bbb	bb	b	below_b	nr_na	%_large_blend	%_large_growth	%_large_value	%_mid_blend	%_mid_growth	%_mid_value	%_small_blend	%_small_growth	%_small_value	%_bonds_long	%_bonds_short	%_cash_long	%_cash_short	%_us_stocks_long	%_us_stocks_short	%_non_us_stocks_long	%_non_us_stocks_short	%_other_not_class_long	%_other_not_class_short	%_cyclical	%_sensitive	%_defensive	%_basic_materials	%_consumer_cyclical	%_fin_services	%_real_estate	%_communication_services	%_energy	Industrials	Technology	%_consumer_defensive	%_healthcare	%_utilities	m_risk_score
American Century One Choice Agrsv R	AORYX	US Fund Moderately Aggressive Allocation	2024-09-06	0.89	0.44	6.82	11.81	1.39	7.57	6.64	9.11	15.03	8.72	5.29	4.23	45.26	3.99	9.51	16.99	13.93	6.42	2.12	1.78	17	29	15	11	10	8	4	2	3	22.04	1.44	1.33	0.09	53.81	0.00	24.09	0.00	0.26	0.00	29.95	44.95	25.10	2.56	10.40	13.32	3.66	6.52	4.12	11.02	23.29	7.89	14.22	2.99	54
American Century One Choice In Ret R	ARSRX	US Fund Target-Date Retirement	2024-09-06	0.65	0.33	3.49	7.99	0.60	4.25	4.00	5.92	9.74	7.75	5.03	3.86	56.84	3.99	10.97	14.75	7.55	3.11	0.89	1.89	21	28	20	10	6	8	4	2	2	57.19	3.85	2.18	0.17	32.21	0.00	11.98	0.00	0.46	0.00	30.29	43.52	26.19	3.24	8.34	14.83	3.87	5.78	4.55	10.64	22.55	7.86	14.75	3.59	30
American Century One Choice Mod R	AORMX	US Fund Moderate Allocation	2024-09-06	0.86	0.39	5.40	10.03	0.62	6.09	5.45	7.67	12.86	9.22	5.52	4.06	49.47	4.50	10.80	18.20	10.54	3.55	1.03	1.89	18	29	15	11	9	8	4	2	3	37.26	2.36	1.56	0.15	43.78	0.00	19.49	0.00	0.42	0.00	30.86	44.85	24.29	2.71	9.99	13.48	4.68	6.36	4.10	10.98	23.40	7.58	13.75	2.96	43
American Century One Choice VryAgrsv R	AORVX	US Fund Aggressive Allocation	2024-09-06	0.97	0.53	8.66	14.00	1.65	8.88	7.67	10.30	17.83	-	-	-	-	-	-	-	-	-	-	-	17	30	14	12	10	8	4	3	3	0.00	0.00	0.94	0.01	63.79	0.00	35.18	0.00	0.10	0.00	32.45	43.29	24.26	2.69	11.86	12.60	5.30	6.41	3.83	11.07	21.98	7.64	14.27	2.36	69
American Century One Choice VryCnsrv R	AORHX	US Fund Conservative Allocation	2024-09-06	0.76	0.22	1.97	5.79	-0.45	2.81	2.86	4.07	7.40	7.12	4.85	3.33	63.88	3.44	9.96	13.68	5.18	1.59	0.43	1.84	18	22	16	15	8	10	6	2	3	81.31	7.34	2.88	0.36	21.89	0.00	1.12	0.00	0.50	0.00	30.19	42.32	27.49	1.45	7.65	12.78	8.31	5.72	4.27	9.53	22.80	8.23	15.26	4.00	17
American Century Strat Allc: Agrsv R	AAARX	US Fund Moderately Aggressive Allocation	2024-09-06	0.63	0.12	6.50	12.36	2.13	8.25	6.97	9.17	15.24	7.48	6.23	3.20	58.44	3.65	8.24	13.98	7.66	3.78	0.59	3.67	14	22	12	13	13	10	7	3	5	22.79	2.09	6.40	0.25	51.07	0.00	21.97	0.00	0.12	0.00	32.53	44.96	22.50	3.65	11.97	12.79	4.14	5.89	4.40	12.96	21.71	7.39	12.41	2.70	51
American Century Strat Allc: Cnsrv R	AACRX	US Fund Moderately Conservative Allocation	2024-09-06	0.65	-0.27	2.98	7.78	0.26	4.72	4.18	5.84	10.43	7.84	6.38	2.75	61.69	5.22	12.02	12.61	4.44	2.01	0.51	1.51	14	21	11	15	13	10	8	4	5	52.11	1.78	10.26	0.04	30.46	0.00	8.84	0.00	0.15	0.00	32.67	45.05	22.28	3.11	11.94	11.51	6.11	5.74	3.95	13.19	22.16	7.72	12.16	2.40	28
American Century Strat Allc: Mod R	ASMRX	US Fund Moderate Allocation	2024-09-06	0.71	0.08	5.13	10.39	1.14	6.60	5.68	7.69	13.02	7.64	6.14	2.55	56.88	4.61	11.55	14.06	5.68	2.54	0.55	4.13	14	22	12	14	13	10	7	3	5	35.36	1.61	7.96	0.09	40.88	0.00	17.35	0.00	0.15	0.00	32.99	45.19	21.82	3.69	12.00	12.59	4.72	5.85	4.33	13.10	21.91	7.26	12.01	2.55	40
BlackRock 20/80 Target Allocation R	BRCPX	US Fund Conservative Allocation	2024-09-06	1.30	0.93	2.54	6.25	-1.57	2.15	2.79	5.41	8.06	7.07	4.62	4.14	5.52	37.27	4.65	7.54	3.33	1.84	1.78	38.07	28	44	12	7	4	4	0	0	0	98.17	27.59	31.04	28.60	18.44	0.12	5.18	0.09	3.79	0.23	28.00	52.60	19.39	3.09	9.99	12.97	1.95	7.99	3.24	9.86	31.51	5.76	11.49	2.15	19
BlackRock 40/60 Target Allocation R	BRMPX	US Fund Moderately Conservative Allocation	2024-09-06	1.86	1.61	5.00	9.50	0.60	5.08	4.81	7.38	10.14	5.34	3.54	3.95	5.69	36.13	4.91	8.06	3.40	1.90	1.87	38.04	27	46	12	7	4	4	0	0	0	44.97	6.88	20.55	19.32	34.60	0.07	9.67	0.06	16.72	0.16	26.76	54.53	18.71	2.72	9.86	12.47	1.71	8.28	2.95	9.28	34.01	5.32	11.42	1.97	31
